timestamp,time_s,force_g,position,strain,top_platen,sample_top,bottom_platen,orig_top_platen,orig_sample_top,orig_bottom_platen
00:00:39.132,39.132,449,1917,26.972010178117046,1756,0,2043,1489,1642,2035
00:00:39.522,39.522,448,1917,26.972010178117046,1756,0,2043,1489,1642,2035
00:00:39.912,39.912,448,1917,27.226463104325703,1756,0,2042,1489,1642,2035
00:00:40.303,40.303,448,1917,27.226463104325703,1756,0,2042,1489,1642,2035
00:00:40.693,40.693,448,1917,27.226463104325703,1757,0,2043,1489,1642,2035
00:00:41.076,41.076,448,1917,26.463104325699746,1753,0,2042,1489,1642,2035
00:00:41.480,41.48,448,1917,26.463104325699746,1753,0,2042,1489,1642,2035
00:00:41.857,41.857,448,1917,26.463104325699746,1753,0,2042,1489,1642,2035
00:00:42.247,42.247,448,1917,27.226463104325703,1756,0,2042,1489,1642,2035
00:00:42.697,42.697,448,1917,27.226463104325703,1756,0,2042,1489,1642,2035
00:00:43.081,43.081,448,1917,26.463104325699746,1753,0,2042,1489,1642,2035
00:00:43.471,43.471,448,1917,27.48091603053436,1757,0,2042,1489,1642,2035
00:00:43.888,43.888,448,1917,27.48091603053436,1757,0,2042,1489,1642,2035
00:00:44.265,44.265,449,1917,27.735368956743002,1758,0,2042,1489,1642,2035
00:00:44.642,44.642,448,1917,27.735368956743002,1758,0,2042,1489,1642,2035
00:00:45.058,45.058,448,1917,27.735368956743002,1758,0,2042,1489,1642,2035
00:00:45.435,45.435,449,1917,27.735368956743002,1758,0,2042,1489,1642,2035
00:00:45.845,45.845,464,1917,27.735368956743002,1758,0,2042,1489,1642,2035
00:00:46.229,46.229,456,1917,27.989821882951645,1759,0,2042,1489,1642,2035
00:00:46.659,46.659,459,1917,26.972010178117046,1755,0,2042,1489,1642,2035
00:00:47.082,47.082,447,1917,32.31552162849873,1749,0,2015,1489,1642,2035
00:00:47.519,47.519,449,1917,20.86513994910942,1737,0,2048,1489,1642,2035
00:00:47.942,47.942,449,1917,23.918575063613233,1741,0,2040,1489,1642,2035
00:00:48.372,48.372,449,1917,25.19083969465649,1744,0,2038,1489,1642,2035
00:00:48.802,48.802,448,1917,26.20865139949109,1748,0,2038,1489,1642,2035
00:00:49.199,49.199,449,1917,26.972010178117046,1750,0,2037,1489,1642,2035
00:00:49.616,49.616,449,1917,26.972010178117046,1750,0,2037,1489,1642,2035
00:00:50.006,50.006,448,1917,26.972010178117046,1750,0,2037,1489,1642,2035
00:00:50.390,50.39,450,1917,27.226463104325703,1751,0,2037,1489,1642,2035
00:00:50.787,50.787,449,1917,27.226463104325703,1751,0,2037,1489,1642,2035
00:00:51.170,51.17,449,1917,27.735368956743002,1752,0,2036,1489,1642,2035
00:00:51.554,51.554,450,1917,27.735368956743002,1752,0,2036,1489,1642,2035
00:00:51.938,51.938,450,1917,27.989821882951645,1753,0,2036,1489,1642,2035
00:00:52.321,52.321,450,1917,27.989821882951645,1753,0,2036,1489,1642,2035
00:00:52.698,52.698,450,1917,27.989821882951645,1753,0,2036,1489,1642,2035
00:00:53.089,53.089,450,1917,27.989821882951645,1753,0,2036,1489,1642,2035
00:00:53.472,53.472,450,1917,28.244274809160302,1754,0,2036,1489,1642,2035
00:00:53.889,53.889,450,1917,27.735368956743002,1753,0,2037,1489,1642,2035
00:00:54.279,54.279,450,1917,27.989821882951645,1754,0,2037,1489,1642,2035
00:00:54.689,54.689,454,1917,27.989821882951645,1754,0,2037,1489,1642,2035
00:00:55.146,55.146,458,1917,27.989821882951645,1754,0,2037,1489,1642,2035
00:00:55.549,55.549,454,1917,27.989821882951645,1754,0,2037,1489,1642,2035
00:00:55.940,55.94,452,1917,27.989821882951645,1754,0,2037,1489,1642,2035
00:00:56.370,56.37,452,1917,27.735368956743002,1752,0,2036,1489,1642,2035
00:00:56.846,56.846,458,1917,23.918575063613233,1743,0,2042,1489,1642,2035
00:00:57.315,57.315,450,1917,19.592875318066163,1741,0,2057,1489,1642,2035
00:00:57.699,57.699,451,1917,20.101781170483463,1743,0,2057,1489,1642,2035
00:00:58.122,58.122,450,1917,21.119592875318062,1746,0,2056,1489,1642,2035
00:00:58.539,58.539,450,1917,21.37404580152672,1746,0,2055,1489,1642,2035
00:00:58.963,58.963,450,1917,21.628498727735362,1747,0,2055,1489,1642,2035
00:00:59.346,59.346,450,1917,21.88295165394402,1747,0,2054,1489,1642,2035
00:00:59.750,59.75,450,1917,21.88295165394402,1748,0,2055,1489,1642,2035
00:01:00.133,60.133,450,1917,21.88295165394402,1748,0,2055,1489,1642,2035
00:01:00.524,60.524,451,1917,23.409669211195933,1753,0,2054,1489,1642,2035
00:01:00.920,60.92,450,1917,22.646310432569976,1750,0,2054,1489,1642,2035
00:01:01.344,61.344,450,1917,23.409669211195933,1753,0,2054,1489,1642,2035
