timestamp,time (s),force,position,strain
00:00:29.767,29.767,95,33880,90.60494958753438
00:00:30.250,30.25,316,34420,91.42988084326306
00:00:30.316,30.316,366,34501,91.42988084326306
00:00:30.641,30.641,529,34938,92.02566452795601
00:00:30.707,30.707,505,35036,92.02566452795601
00:00:31.024,31.024,228,35533,92.07149404216315
00:00:31.104,31.104,169,35657,92.07149404216315
00:00:31.408,31.408,48,36125,91.42988084326306
00:00:31.467,31.467,38,36214,91.42988084326306
00:00:31.765,31.765,14,36627,90.65077910174152
00:00:31.838,31.838,13,36727,90.65077910174152
00:00:32.222,32.222,17,37216,90.60494958753438
00:00:32.288,32.288,20,37299,90.60494958753438
00:00:32.658,32.658,55,37714,90.60494958753438
00:00:32.738,32.738,66,37799,90.60494958753438
00:00:33.055,33.055,149,38144,91.01741521539871
00:00:33.121,33.121,175,38217,91.01741521539871
00:00:33.452,33.452,388,38607,91.6590284142988
00:00:33.518,33.518,441,38694,91.6590284142988
00:00:33.829,33.829,495,39135,92.11732355637031
00:00:33.902,33.902,443,39255,92.11732355637031
00:00:34.246,34.246,146,39789,91.93400549954171
00:00:34.312,34.312,112,39893,91.93400549954171
00:00:34.669,34.669,26,40419,91.24656278643447
00:00:34.736,34.736,21,40515,91.24656278643447
00:00:35.033,35.033,12,40916,90.60494958753438
00:00:35.099,35.099,13,41000,90.60494958753438
00:00:35.410,35.41,21,41385,90.55912007332722
00:00:35.477,35.477,26,41461,90.55912007332722
00:00:35.807,35.807,60,41833,90.60494958753438
00:00:35.873,35.873,71,41903,90.60494958753438
00:00:36.237,36.237,181,42308,91.10907424381301
00:00:36.317,36.317,222,42401,91.10907424381301
00:00:36.661,36.661,476,42839,91.88817598533456
00:00:36.727,36.727,515,42934,91.88817598533456
00:00:37.031,37.031,401,43405,92.11732355637031
00:00:37.124,37.124,302,43550,92.11732355637031
00:00:37.428,37.428,94,44031,91.6590284142988
00:00:37.494,37.494,71,44132,91.6590284142988
00:00:37.825,37.825,20,44611,90.87992667277727
00:00:37.891,37.891,17,44702,90.87992667277727
00:00:38.196,38.196,13,45098,90.60494958753438
00:00:38.255,38.255,13,45173,90.60494958753438
00:00:38.566,38.566,26,45543,90.60494958753438
00:00:38.626,38.626,30,45610,90.60494958753438
00:00:38.903,38.903,62,45913,90.60494958753438
00:00:38.970,38.97,72,45982,90.60494958753438
00:00:39.320,39.32,176,46364,91.10907424381301
00:00:39.386,39.386,208,46438,91.10907424381301
00:00:39.691,39.691,420,46804,91.79651695692026
00:00:39.757,39.757,469,46891,91.79651695692026
00:00:40.055,40.055,479,47331,92.16315307057745
00:00:40.114,40.114,433,47421,92.16315307057745
00:00:40.432,40.432,153,47920,91.93400549954171
00:00:40.491,40.491,120,48015,91.93400549954171
00:00:40.842,40.842,28,48537,91.33822181484877
00:00:40.908,40.908,23,48631,91.33822181484877
00:00:41.206,41.206,12,49032,90.60494958753438
00:00:41.265,41.265,12,49109,90.60494958753438
00:00:41.576,41.576,19,49491,90.55912007332722
00:00:41.642,41.642,22,49566,90.55912007332722
00:00:41.940,41.94,49,49891,90.60494958753438
00:00:42.006,42.006,58,49962,90.60494958753438
00:00:42.310,42.31,125,50287,90.74243813015582
00:00:42.377,42.377,148,50360,90.74243813015582
00:00:42.707,42.707,335,50740,91.61319890009166
00:00:42.773,42.773,387,50822,91.61319890009166
00:00:43.091,43.091,524,51260,92.11732355637031
00:00:43.157,43.157,493,51362,92.11732355637031
00:00:43.508,43.508,183,51921,92.07149404216315
00:00:43.574,43.574,140,52025,92.07149404216315
00:00:43.911,43.911,34,52546,91.38405132905591
00:00:43.978,43.978,27,52631,91.38405132905591
00:00:44.302,44.302,12,53075,90.60494958753438
00:00:44.368,44.368,12,53161,90.60494958753438
00:00:44.712,44.712,20,53584,90.55912007332722
00:00:44.778,44.778,25,53658,90.55912007332722
00:00:45.089,45.089,53,53998,90.60494958753438
00:00:45.148,45.148,62,54060,90.60494958753438
00:00:45.492,45.492,148,54428,91.01741521539871
00:00:45.559,45.559,174,54500,91.01741521539871
00:00:45.876,45.876,374,54874,91.7506874427131
00:00:45.942,45.942,428,54959,91.7506874427131
00:00:46.273,46.273,495,55425,92.16315307057745
00:00:46.339,46.339,447,55536,92.16315307057745
00:00:46.683,46.683,147,56077,91.97983501374885
00:00:46.749,46.749,112,56182,91.97983501374885
00:00:47.080,47.08,29,56672,91.33822181484877
00:00:47.146,47.146,23,56768,91.33822181484877
00:00:47.457,47.457,11,57188,90.60494958753438
