timestamp,time,force,position,strain
00:07:11.241,431.241,406,14466,19.1176470588235
00:07:11.281,431.281,407,14466,19.1176470588235
00:07:11.473,431.473,407,14466,19.1176470588235
00:07:11.519,431.519,406,14466,19.1176470588235
00:07:11.717,431.717,407,14466,19.1176470588235
00:07:11.757,431.757,407,14466,19.1176470588235
00:07:11.942,431.942,407,14466,19.1176470588235
00:07:11.982,431.982,407,14466,19.1176470588235
00:07:12.174,432.174,407,14466,19.1176470588235
00:07:12.213,432.213,407,14466,19.1176470588235
00:07:12.412,432.412,406,14466,19.1176470588235
00:07:12.452,432.452,407,14466,19.1176470588235
00:07:12.650,432.65,406,14466,19.1176470588235
00:07:12.696,432.696,407,14466,19.1176470588235
00:07:12.902,432.902,407,14466,19.1176470588235
00:07:12.948,432.948,407,14466,19.1176470588235
00:07:13.166,433.166,407,14466,19.1176470588235
00:07:13.206,433.206,407,14466,19.1176470588235
00:07:13.411,433.411,406,14466,19.1176470588235
00:07:13.451,433.451,407,14466,19.1176470588235
00:07:13.649,433.649,406,14466,19.1176470588235
00:07:13.695,433.695,407,14466,19.1176470588235
00:07:13.887,433.887,406,14466,19.1176470588235
00:07:13.934,433.934,406,14466,19.1176470588235
00:07:14.132,434.132,406,14466,19.1176470588235
00:07:14.165,434.165,407,14466,19.1176470588235
00:07:14.364,434.364,406,14466,19.1176470588235
00:07:14.410,434.41,407,14466,19.1176470588235
00:07:14.595,434.595,407,14466,19.1176470588235
00:07:14.641,434.641,407,14466,19.1176470588235
00:07:14.833,434.833,406,14466,19.1176470588235
00:07:14.873,434.873,406,14466,19.1176470588235
00:07:15.065,435.065,407,14466,19.1176470588235
00:07:15.105,435.105,407,14466,19.1176470588235
00:07:15.290,435.29,406,14466,19.1176470588235
00:07:15.330,435.33,407,14466,19.1176470588235
00:07:15.521,435.521,407,14466,19.1176470588235
00:07:15.561,435.561,407,14466,19.1176470588235
00:07:15.753,435.753,407,14466,19.1176470588235
00:07:15.799,435.799,406,14466,19.1176470588235
00:07:15.998,435.998,407,14466,19.1176470588235
00:07:16.044,436.044,407,14466,19.1176470588235
00:07:16.256,436.256,406,14466,19.1176470588235
00:07:16.302,436.302,407,14466,19.1176470588235
00:07:16.547,436.547,407,14466,19.1176470588235
00:07:16.593,436.593,406,14466,19.1176470588235
00:07:16.825,436.825,406,14466,19.1176470588235
00:07:16.871,436.871,408,14466,19.1176470588235
00:07:17.089,437.089,407,14466,19.1176470588235
00:07:17.136,437.136,407,14466,19.1176470588235
00:07:17.354,437.354,407,14466,19.1176470588235
00:07:17.400,437.4,407,14466,19.1176470588235
00:07:17.619,437.619,407,14466,19.1176470588235
00:07:17.665,437.665,407,14466,19.1176470588235
00:07:17.883,437.883,406,14466,19.1176470588235
00:07:17.929,437.929,407,14466,19.1176470588235
00:07:18.154,438.154,407,14466,19.1176470588235
00:07:18.194,438.194,407,14466,19.1176470588235
00:07:18.412,438.412,407,14466,19.1176470588235
00:07:18.452,438.452,407,14466,19.1176470588235
00:07:18.664,438.664,406,14466,19.1176470588235
00:07:18.710,438.71,407,14466,19.1176470588235
00:07:18.935,438.935,407,14466,19.1176470588235
00:07:18.981,438.981,407,14466,19.1176470588235
00:07:19.206,439.206,406,14466,19.1176470588235
00:07:19.259,439.259,407,14466,19.1176470588235
00:07:19.478,439.478,406,14466,19.1176470588235
00:07:19.524,439.524,407,14466,19.1176470588235
00:07:19.749,439.749,407,14466,19.1176470588235
00:07:19.802,439.802,407,14466,19.1176470588235
00:07:20.027,440.027,406,14466,19.1176470588235
00:07:20.073,440.073,407,14466,19.1176470588235
00:07:20.305,440.305,407,14466,19.1176470588235
00:07:20.351,440.351,407,14466,19.1176470588235
00:07:20.562,440.562,406,14466,19.1176470588235
00:07:20.609,440.609,407,14466,19.1176470588235
00:07:20.834,440.834,407,14466,19.1176470588235
00:07:20.880,440.88,407,14466,19.1176470588235
00:07:21.072,441.072,406,14466,19.1176470588235
00:07:21.112,441.112,407,14466,19.1176470588235
00:07:21.310,441.31,407,14466,19.1176470588235
00:07:21.350,441.35,407,14466,19.1176470588235
00:07:21.542,441.542,407,14466,19.1176470588235
00:07:21.581,441.581,407,14466,19.1176470588235
00:07:21.773,441.773,407,14466,19.1176470588235
00:07:21.819,441.819,407,14466,19.1176470588235
00:07:22.005,442.005,406,14466,19.1176470588235
00:07:22.051,442.051,407,14466,19.1176470588235
00:07:22.243,442.243,406,14466,19.1176470588235
00:07:22.289,442.289,407,14466,19.1176470588235
00:07:22.481,442.481,407,14466,19.1176470588235
00:07:22.527,442.527,407,14466,19.1176470588235
00:07:22.719,442.719,407,14466,19.1176470588235
00:07:22.765,442.765,407,14466,19.1176470588235
00:07:22.957,442.957,407,14466,19.1176470588235
00:07:22.997,442.997,407,14466,19.1176470588235
00:07:23.195,443.195,406,14466,19.1176470588235
00:07:23.235,443.235,406,14466,19.1176470588235
00:07:23.433,443.433,407,14466,19.1176470588235
00:07:23.473,443.473,407,14466,19.1176470588235
00:07:23.672,443.672,406,14466,19.1176470588235
00:07:23.711,443.711,407,14466,19.1176470588235
00:07:23.910,443.91,407,14466,19.1176470588235
00:07:23.949,443.949,407,14466,19.1176470588235
00:07:24.141,444.141,407,14466,19.1176470588235
00:07:24.188,444.188,407,14466,19.1176470588235
00:07:24.379,444.379,407,14466,19.1176470588235
00:07:24.419,444.419,407,14466,19.1176470588235
00:07:24.631,444.631,407,14466,19.1176470588235
00:07:24.684,444.684,407,14466,19.1176470588235
00:07:24.909,444.909,406,14466,19.1176470588235
