timestamp,time (s),force,position,strain
00:05:27.687,327.687,518,1961,26.359832635983267
00:05:27.945,327.945,518,1961,25.941422594142267
00:05:28.197,328.197,518,1961,25.941422594142267
00:05:28.455,328.455,518,1961,25.941422594142267
00:05:28.713,328.713,518,1961,25.941422594142267
00:05:28.958,328.95799999999997,518,1961,25.941422594142267
00:05:29.203,329.203,518,1961,26.359832635983267
00:05:29.447,329.447,518,1961,26.359832635983267
00:05:29.692,329.692,518,1961,25.941422594142267
00:05:29.944,329.944,518,1961,26.359832635983267
00:05:30.195,330.195,518,1961,26.359832635983267
00:05:30.453,330.453,518,1961,26.359832635983267
00:05:30.705,330.705,518,1961,26.359832635983267
00:05:30.956,330.956,518,1961,25.941422594142267
00:05:31.201,331.201,518,1961,25.941422594142267
00:05:31.459,331.459,518,1961,25.941422594142267
00:05:31.710,331.71,517,1961,25.941422594142267
00:05:31.955,331.955,518,1961,26.359832635983267
00:05:32.200,332.2,519,1961,26.359832635983267
00:05:32.445,332.445,518,1961,26.359832635983267
00:05:32.696,332.696,518,1961,26.359832635983267
00:05:32.941,332.94100000000003,518,1961,26.359832635983267
00:05:33.186,333.186,518,1961,26.359832635983267
00:05:33.431,333.431,519,1961,25.941422594142267
00:05:33.682,333.682,518,1961,26.359832635983267
00:05:33.940,333.94,518,1961,26.359832635983267
00:05:34.192,334.192,518,1961,26.359832635983267
00:05:34.443,334.443,518,1961,26.359832635983267
00:05:34.694,334.694,518,1961,26.359832635983267
00:05:34.946,334.946,518,1961,26.359832635983267
00:05:35.191,335.19100000000003,519,1961,26.359832635983267
00:05:35.442,335.442,519,1961,26.359832635983267
00:05:35.694,335.694,519,1961,26.359832635983267
00:05:35.945,335.945,518,1961,26.359832635983267
00:05:36.196,336.196,518,1961,26.359832635983267
00:05:36.448,336.448,518,1961,26.359832635983267
00:05:36.712,336.712,518,1961,26.359832635983267
00:05:36.964,336.964,518,1961,26.359832635983267
00:05:37.215,337.21500000000003,518,1961,26.359832635983267
00:05:37.460,337.46,519,1961,26.359832635983267
00:05:37.712,337.712,519,1961,26.359832635983267
00:05:37.956,337.956,518,1961,26.359832635983267
00:05:38.201,338.201,518,1961,26.359832635983267
00:05:38.453,338.453,518,1961,26.359832635983267
00:05:38.697,338.697,518,1961,26.359832635983267
00:05:38.942,338.942,518,1961,26.359832635983267
00:05:39.194,339.194,518,1961,26.359832635983267
00:05:39.438,339.438,519,1961,26.359832635983267
00:05:39.697,339.697,519,1961,26.359832635983267
00:05:39.961,339.961,518,1961,26.359832635983267
